Frequency,Cp Avg,Cp Stdev,Loss Avg,Loss Stdev
109647.82,3.23078E-11,5.79128E-12,0.120193388,0.022026438
114815.362,3.21988E-11,5.76621E-12,0.120223176,0.021725655
120226.443,3.20741E-11,5.74027E-12,0.120284312,0.021544751
125892.541,3.19723E-11,5.70744E-12,0.119513782,0.021736424
131825.674,3.18468E-11,5.67037E-12,0.119929498,0.021456212
138038.426,3.17301E-11,5.63654E-12,0.120128426,0.021620903
144543.977,3.16337E-11,5.61152E-12,0.119062812,0.021802791
151356.125,3.15163E-11,5.59798E-12,0.118615196,0.021035268
158489.319,3.13991E-11,5.5667E-12,0.118763632,0.020951094
165958.691,3.12818E-11,5.54318E-12,0.118501562,0.021262015
173780.083,3.11742E-11,5.53508E-12,0.118473682,0.022374276
181970.086,3.10663E-11,5.49014E-12,0.118059824,0.020921512
190546.072,3.09654E-11,5.47169E-12,0.118386222,0.020661525
199526.231,3.08554E-11,5.44619E-12,0.117788034,0.020853567
208929.613,3.07471E-11,5.41713E-12,0.117860756,0.020553649
218776.162,3.06391E-11,5.40087E-12,0.117058108,0.020930157
229086.765,3.05317E-11,5.3727E-12,0.11744829,0.020336195
239883.292,3.04232E-11,5.34522E-12,0.116768666,0.02037254
251188.643,3.03197E-11,5.31993E-12,0.116817874,0.020203907
263026.799,3.02214E-11,5.30325E-12,0.116289404,0.019991967
275422.87,3.01127E-11,5.27409E-12,0.115879616,0.01980138
288403.15,2.99904E-11,5.25794E-12,0.115883436,0.019215493
301995.172,2.99085E-11,5.226E-12,0.115495274,0.018923968
316227.766,2.98155E-11,5.20974E-12,0.115387622,0.019655735
331131.121,2.97049E-11,5.18428E-12,0.114915922,0.019174991
346736.85,2.96216E-11,5.1845E-12,0.114889644,0.019369978
363078.055,2.95125E-11,5.14634E-12,0.114749388,0.019267953
380189.396,2.9419E-11,5.1311E-12,0.11392455,0.018580233
398107.171,2.93148E-11,5.11887E-12,0.113832468,0.018644735
416869.383,2.92229E-11,5.09585E-12,0.114070988,0.018583836
436515.832,2.91496E-11,5.07211E-12,0.113804398,0.017532556
457088.19,2.90323E-11,5.05012E-12,0.11331451,0.018431992
